2886.960882647944, 186509943052
2926.078234704112, 37438762568697.5
2949.5486459378135, 107723998441605.5
2965.195586760281, 190393494533186
2991.273821464393, 256550643666537
3025.175526579739, 310323532581215
3056.469408224674, 380621202450326
3090.37111334002, 434394091365004.5
3139.9197592778337, 479927385462172
3179.037111334002, 525444100897734.5
3212.938816449348, 579216989812412.5
3257.271815446339, 633006457388695.5
3304.212637913741, 674403375415502.5
3353.7612838515547, 724068900917629
3408.5255767301906, 777874947155516
3471.11334002006, 848222353009441.5
3528.4854563691074, 893768081102812.5
3570.210631895687, 926892246988900.5
3627.582748244734, 976570206487230.5
3677.1313941825474, 1042764657609191.5
3713.640922768305, 1100673922594228.5
3755.366098294885, 1208178253769573.5
3802.3069207622866, 1323955337085637.5
3849.247743229689, 1452129114616577
3883.149448345035, 1547224317580841.8
3917.051153460381, 1634055057735189.2
3945.7372116349047, 1733274202773610
3987.4623871614845, 1815985145519202.2
4044.8345035105317, 1935911038901829.8
4102.2066198595785, 2014514618234870
4162.186559679038, 2080725648018435.8
4227.382146439318, 2155209429942720.8
4279.538615847543, 2229672488540000.2
4342.126379137413, 2312416588608802
4399.498495486459, 2399284630751759.5
4462.086258776329, 2477896499415602
4527.2818455366105, 2548248049934929
4597.693079237713, 2573153344330512.5
4688.966900702106, 2569166176214594.5
4772.417251755265, 2552769879887597
4842.828485456369, 2590071868498056.5
4913.239719157473, 2648035014133309.5
4981.043129388165, 2701861783698202
5038.415245737212, 2755671974601490.5
5114.042126379138, 2834304566592339
5171.414242728184, 2834395749231165
5226.17853560682, 2822086092989713
5304.413239719157, 2785020350307120
5359.177532597793, 2727256148611123
5413.94182547643, 2652963021295291
5492.176529588767, 2632426204232533
5562.58776328987, 2636670341603323
5635.606820461384, 2611993003804803
5739.919759277833, 2574968707776222
